country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Suriname,South America,8820,167.0,8264.0,389.0,7.0,14951,283.0,39377.0,66748.0,589937
Swaziland,Africa,16606,634.0,12383.0,3589.0,67.0,14221,543.0,142811.0,122300.0,1167711
Sweden,Europe,617869,12487.0,,,228.0,60940,1232.0,5708037.0,562983.0,10138916
Switzerland,Europe,544282,9817.0,485615.0,48850.0,214.0,62601,1129.0,4764217.0,547961.0,8694451
Syria,Asia,14951,984.0,8826.0,5141.0,,842,55.0,,,17765596
Taiwan,Asia,938,9.0,879.0,50.0,,39,,168862.0,7082.0,23843979
Tajikistan,Asia,13308,90.0,13218.0,0.0,,1376,9.0,,,9671293
Tanzania,Africa,509,21.0,183.0,305.0,7.0,8,,,,60791838
Thailand,Asia,24961,82.0,23697.0,1182.0,1.0,357,1.0,1217873.0,17420.0,69910471
Timor Leste,Asia,102,,62.0,40.0,,76,,19919.0,14930.0,1334143
Togo,Africa,5953,81.0,5094.0,778.0,,709,10.0,222350.0,26471.0,8399704
Trinidad And Tobago,North America,7656,138.0,7362.0,156.0,2.0,5459,98.0,92508.0,65967.0,1402346
Tunisia,Africa,224329,7617.0,184499.0,32213.0,304.0,18857,640.0,933757.0,78491.0,11896309
Turkey,Asia,2602034,27652.0,2489624.0,84758.0,1201.0,30645,326.0,31748965.0,373917.0,84909102
Turks And Caicos Islands,North America,1874,13.0,1551.0,310.0,8.0,47996,333.0,16043.0,410885.0,39045
Uganda,Africa,40063,331.0,14545.0,25187.0,,859,7.0,857550.0,18388.0,46637236
UK,Europe,4058468,118195.0,2231199.0,1709074.0,2805.0,59586,1735.0,83011108.0,1218768.0,68110664
Ukraine,Europe,1280904,24689.0,1128890.0,127325.0,177.0,29401,567.0,6570806.0,150820.0,43567324
United Arab Emirates,Asia,355131,1041.0,340365.0,13725.0,,35636,104.0,28470375.0,2856921.0,9965406
Uruguay,South America,49725,546.0,44060.0,5119.0,80.0,14283,157.0,940015.0,270017.0,3481321
USA,North America,28381220,499991.0,18479418.0,9401811.0,18716.0,85428,1505.0,337665908.0,1016377.0,332225037
Uzbekistan,Asia,79497,622.0,77993.0,882.0,153.0,2354,18.0,1377915.0,40799.0,33773239
Vanuatu,Australia/Oceania,1,,1.0,0.0,,3,,470.0,1508.0,311620
Venezuela,South America,133927,1292.0,125924.0,6711.0,110.0,4718,46.0,2781130.0,97979.0,28384978
Viet Nam,Asia,2311,35.0,1573.0,703.0,,24,,1529651.0,15626.0,97889224
Wallis And Futuna Islands,Australia/Oceania,9,,5.0,4.0,,810,,1202.0,108152.0,11114
Western Sahara,Africa,10,1.0,8.0,1.0,,16,2.0,,,606490
Yemen,Asia,2148,618.0,1431.0,99.0,23.0,71,20.0,17404.0,576.0,30235892
Zambia,Africa,70823,974.0,63609.0,6240.0,319.0,3786,52.0,1028192.0,54972.0,18704087
Zimbabwe,Africa,35315,1414.0,30979.0,2922.0,4.0,2355,94.0,315812.0,21056.0,14998535
